2022-06-18 11:26:27.263 [http-nio-8117-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-18 11:26:27.263 [http-nio-8117-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-06-18 11:26:27.277 [http-nio-8117-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 14 ms
2022-06-18 11:26:31.435 [http-nio-8117-exec-2] INFO  org.springframework.boot.SpringApplication - The following profiles are active: prod,format,format-custom
2022-06-18 11:26:31.532 [http-nio-8117-exec-2] INFO  org.springframework.boot.SpringApplication - Started application in 0.463 seconds (JVM running for 16.579)
2022-06-18 11:26:31.551 [http-nio-8117-exec-2] INFO  com.lckp.jproxy.controller.FormatController - 开始初始化规则
2022-06-18 11:26:31.552 [http-nio-8117-exec-2] INFO  com.lckp.jproxy.interceptor.ApiProxy - 初始化动漫规则完毕
2022-06-18 11:26:31.552 [http-nio-8117-exec-2] INFO  com.lckp.jproxy.interceptor.ApiProxy - 初始化电视剧规则完毕
2022-06-18 11:26:31.552 [http-nio-8117-exec-2] INFO  com.lckp.jproxy.controller.FormatController - 初始化规则完毕
2022-06-18 11:26:44.906 [http-nio-8117-exec-3] INFO  com.lckp.jproxy.controller.FormatController - 精确匹配测试：{"example1":"[OPFans枫雪动漫][ONE PIECE 海贼王][第1021话][720p][周日版][MP4][简体]","example2":"[OPFans楓雪動漫][ONE PIECE 海賊王][第995話][1080p][周日版][MKV]","match":"\\[Skymoon-Raws\\]\\[(.*) ([^ ]*)\\]\\[(\\d+)](.*)","replace":"[Skymoon-Raws] $2 / $1 $3 $4","seriesType":"ANIME"}
2022-06-18 11:27:35.404 [main] INFO  com.lckp.jproxy.Application - The following profiles are active: prod,format,format-custom
2022-06-18 11:27:37.927 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=a5c08453-3156-3a86-a786-7849f7bcb9c5
2022-06-18 11:27:38.880 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8117 (http)
2022-06-18 11:27:38.896 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8117"]
2022-06-18 11:27:38.896 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
